The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None}.
                                                                                                                                                               
{'loss': 0.666, 'grad_norm': 0.6653291583061218, 'learning_rate': 0.00019979010704540686, 'epoch': 0.0}
{'loss': 0.1049, 'grad_norm': 1.2650477886199951, 'learning_rate': 0.00019442617598358172, 'epoch': 0.08}
{'loss': 0.108, 'grad_norm': 0.6915706396102905, 'learning_rate': 0.00019419296158958933, 'epoch': 0.09}
{'loss': 0.1105, 'grad_norm': 1.1249841451644897, 'learning_rate': 0.00019395974719559693, 'epoch': 0.09}
{'loss': 0.1039, 'grad_norm': 0.8374848365783691, 'learning_rate': 0.00019372653280160453, 'epoch': 0.09}
{'loss': 0.1015, 'grad_norm': 0.660030722618103, 'learning_rate': 0.00019349331840761214, 'epoch': 0.1}
{'loss': 0.1013, 'grad_norm': 0.6172227263450623, 'learning_rate': 0.00019326010401361974, 'epoch': 0.1}
{'loss': 0.1066, 'grad_norm': 0.6571560502052307, 'learning_rate': 0.00019302688961962735, 'epoch': 0.1}
{'loss': 0.1063, 'grad_norm': 0.8350229859352112, 'learning_rate': 0.00019279367522563495, 'epoch': 0.11}
{'loss': 0.1059, 'grad_norm': 0.4674120843410492, 'learning_rate': 0.00019256046083164255, 'epoch': 0.11}
{'loss': 0.1088, 'grad_norm': 0.8005098700523376, 'learning_rate': 0.00019232724643765016, 'epoch': 0.12}
{'loss': 0.1102, 'grad_norm': 0.7283294796943665, 'learning_rate': 0.00019209403204365773, 'epoch': 0.12}
{'loss': 0.0976, 'grad_norm': 0.8692001104354858, 'learning_rate': 0.00019186081764966534, 'epoch': 0.12}
{'loss': 0.1041, 'grad_norm': 0.4918119013309479, 'learning_rate': 0.00019162760325567294, 'epoch': 0.13}
{'loss': 0.1071, 'grad_norm': 0.8656903505325317, 'learning_rate': 0.00019139438886168054, 'epoch': 0.13}
{'loss': 0.1014, 'grad_norm': 0.6795125007629395, 'learning_rate': 0.00019116117446768815, 'epoch': 0.13}
{'loss': 0.1057, 'grad_norm': 0.6369262337684631, 'learning_rate': 0.00019092796007369575, 'epoch': 0.14}
{'loss': 0.1116, 'grad_norm': 0.6631304025650024, 'learning_rate': 0.00019069474567970336, 'epoch': 0.14}
{'loss': 0.097, 'grad_norm': 0.7846574187278748, 'learning_rate': 0.00019046153128571096, 'epoch': 0.14}
{'loss': 0.0936, 'grad_norm': 0.6386355757713318, 'learning_rate': 0.00019022831689171856, 'epoch': 0.15}
{'loss': 0.1067, 'grad_norm': 0.6796908974647522, 'learning_rate': 0.00018999510249772617, 'epoch': 0.15}
{'loss': 0.1031, 'grad_norm': 1.0918630361557007, 'learning_rate': 0.00018976188810373377, 'epoch': 0.15}
{'loss': 0.1017, 'grad_norm': 0.73619145154953, 'learning_rate': 0.00018952867370974137, 'epoch': 0.16}
{'loss': 0.1046, 'grad_norm': 0.970994770526886, 'learning_rate': 0.00018929545931574898, 'epoch': 0.16}
{'loss': 0.0971, 'grad_norm': 0.6836423873901367, 'learning_rate': 0.00018906224492175658, 'epoch': 0.16}
{'loss': 0.1071, 'grad_norm': 1.3923141956329346, 'learning_rate': 0.00018882903052776419, 'epoch': 0.17}
{'loss': 0.0958, 'grad_norm': 0.5146509408950806, 'learning_rate': 0.00018859581613377176, 'epoch': 0.17}
{'loss': 0.1084, 'grad_norm': 0.8240247964859009, 'learning_rate': 0.0001883626017397794, 'epoch': 0.17}
{'loss': 0.1051, 'grad_norm': 0.8216235637664795, 'learning_rate': 0.000188129387345787, 'epoch': 0.18}
{'loss': 0.1028, 'grad_norm': 1.3518487215042114, 'learning_rate': 0.0001878961729517946, 'epoch': 0.18}
{'loss': 0.1012, 'grad_norm': 0.6434383988380432, 'learning_rate': 0.0001876629585578022, 'epoch': 0.19}
{'loss': 0.1003, 'grad_norm': 0.5154373049736023, 'learning_rate': 0.0001874297441638098, 'epoch': 0.19}
{'loss': 0.1, 'grad_norm': 0.6528543829917908, 'learning_rate': 0.0001871965297698174, 'epoch': 0.19}
{'loss': 0.0931, 'grad_norm': 0.6786382794380188, 'learning_rate': 0.00018696331537582502, 'epoch': 0.2}
{'loss': 0.103, 'grad_norm': 0.9667234420776367, 'learning_rate': 0.00018673010098183262, 'epoch': 0.2}
{'loss': 0.1055, 'grad_norm': 0.5760065913200378, 'learning_rate': 0.00018649688658784022, 'epoch': 0.2}
{'loss': 0.0973, 'grad_norm': 0.7215108871459961, 'learning_rate': 0.00018626367219384783, 'epoch': 0.21}
{'loss': 0.0979, 'grad_norm': 0.46587198972702026, 'learning_rate': 0.00018603045779985543, 'epoch': 0.21}
{'loss': 0.1003, 'grad_norm': 0.5607216358184814, 'learning_rate': 0.000185797243405863, 'epoch': 0.21}
{'loss': 0.093, 'grad_norm': 0.7780755758285522, 'learning_rate': 0.0001855640290118706, 'epoch': 0.22}
{'loss': 0.1036, 'grad_norm': 0.5762174129486084, 'learning_rate': 0.00018533081461787821, 'epoch': 0.22}
{'loss': 0.1023, 'grad_norm': 0.6907795667648315, 'learning_rate': 0.00018509760022388582, 'epoch': 0.22}
{'loss': 0.097, 'grad_norm': 0.6756263375282288, 'learning_rate': 0.00018486438582989342, 'epoch': 0.23}
{'loss': 0.1005, 'grad_norm': 0.7588828206062317, 'learning_rate': 0.00018463117143590103, 'epoch': 0.23}
{'loss': 0.102, 'grad_norm': 0.8123729825019836, 'learning_rate': 0.00018439795704190863, 'epoch': 0.23}
{'loss': 0.1013, 'grad_norm': 0.5447852611541748, 'learning_rate': 0.00018416474264791623, 'epoch': 0.24}
{'loss': 0.0943, 'grad_norm': 0.6001633405685425, 'learning_rate': 0.00018393152825392384, 'epoch': 0.24}
{'loss': 0.0957, 'grad_norm': 1.0870916843414307, 'learning_rate': 0.00018369831385993144, 'epoch': 0.24}
{'loss': 0.097, 'grad_norm': 0.7466797232627869, 'learning_rate': 0.00018346509946593904, 'epoch': 0.25}
{'loss': 0.1, 'grad_norm': 0.9178124070167542, 'learning_rate': 0.00018323188507194665, 'epoch': 0.25}
{'loss': 0.094, 'grad_norm': 0.5784363746643066, 'learning_rate': 0.00018299867067795425, 'epoch': 0.26}
{'loss': 0.1039, 'grad_norm': 0.6962244510650635, 'learning_rate': 0.00018276545628396186, 'epoch': 0.26}
{'loss': 0.0966, 'grad_norm': 0.7814689874649048, 'learning_rate': 0.00018253224188996946, 'epoch': 0.26}
{'loss': 0.1018, 'grad_norm': 1.0262494087219238, 'learning_rate': 0.00018229902749597706, 'epoch': 0.27}
{'loss': 0.1033, 'grad_norm': 0.8507593274116516, 'learning_rate': 0.00018206581310198467, 'epoch': 0.27}
{'loss': 0.0991, 'grad_norm': 0.6256208419799805, 'learning_rate': 0.00018183259870799227, 'epoch': 0.27}
{'loss': 0.0975, 'grad_norm': 0.6509230732917786, 'learning_rate': 0.00018159938431399987, 'epoch': 0.28}
{'loss': 0.094, 'grad_norm': 0.9479647874832153, 'learning_rate': 0.00018136616992000748, 'epoch': 0.28}
{'loss': 0.0967, 'grad_norm': 0.7455769181251526, 'learning_rate': 0.00018113295552601508, 'epoch': 0.28}
{'loss': 0.1001, 'grad_norm': 1.7567427158355713, 'learning_rate': 0.00018089974113202269, 'epoch': 0.29}
{'loss': 0.101, 'grad_norm': 0.7262885570526123, 'learning_rate': 0.0001806665267380303, 'epoch': 0.29}
{'loss': 0.0954, 'grad_norm': 0.6473401188850403, 'learning_rate': 0.0001804333123440379, 'epoch': 0.29}
{'loss': 0.0986, 'grad_norm': 0.9300792217254639, 'learning_rate': 0.0001802000979500455, 'epoch': 0.3}
{'loss': 0.1056, 'grad_norm': 0.5221046209335327, 'learning_rate': 0.0001799668835560531, 'epoch': 0.3}
{'loss': 0.0951, 'grad_norm': 1.7007259130477905, 'learning_rate': 0.0001797336691620607, 'epoch': 0.3}
{'loss': 0.0945, 'grad_norm': 0.5880624055862427, 'learning_rate': 0.00017950045476806828, 'epoch': 0.31}
{'loss': 0.0932, 'grad_norm': 0.6062408089637756, 'learning_rate': 0.00017926724037407589, 'epoch': 0.31}
{'loss': 0.0969, 'grad_norm': 0.78830885887146, 'learning_rate': 0.0001790340259800835, 'epoch': 0.31}
{'loss': 0.0929, 'grad_norm': 0.4271930754184723, 'learning_rate': 0.0001788008115860911, 'epoch': 0.32}
{'loss': 0.0947, 'grad_norm': 0.7338929772377014, 'learning_rate': 0.0001785675971920987, 'epoch': 0.32}
{'loss': 0.0949, 'grad_norm': 1.1326199769973755, 'learning_rate': 0.0001783343827981063, 'epoch': 0.33}
{'loss': 0.0985, 'grad_norm': 0.7020851969718933, 'learning_rate': 0.0001781011684041139, 'epoch': 0.33}
{'loss': 0.0973, 'grad_norm': 0.7420423626899719, 'learning_rate': 0.0001778679540101215, 'epoch': 0.33}
{'loss': 0.0948, 'grad_norm': 0.6276190280914307, 'learning_rate': 0.0001776347396161291, 'epoch': 0.34}
{'loss': 0.1012, 'grad_norm': 0.8916366696357727, 'learning_rate': 0.00017740152522213672, 'epoch': 0.34}
{'loss': 0.0898, 'grad_norm': 0.5234025716781616, 'learning_rate': 0.00017716831082814432, 'epoch': 0.34}
{'loss': 0.0891, 'grad_norm': 0.5890311002731323, 'learning_rate': 0.00017693509643415192, 'epoch': 0.35}
{'loss': 0.0938, 'grad_norm': 0.8051109910011292, 'learning_rate': 0.00017670188204015953, 'epoch': 0.35}
{'loss': 0.0966, 'grad_norm': 0.6650014519691467, 'learning_rate': 0.00017646866764616713, 'epoch': 0.35}
{'loss': 0.0875, 'grad_norm': 0.6794629693031311, 'learning_rate': 0.00017623545325217473, 'epoch': 0.36}
{'loss': 0.0971, 'grad_norm': 0.8564890027046204, 'learning_rate': 0.00017600223885818234, 'epoch': 0.36}
{'loss': 0.0872, 'grad_norm': 0.45423099398612976, 'learning_rate': 0.00017576902446418994, 'epoch': 0.36}
{'loss': 0.098, 'grad_norm': 0.8888549208641052, 'learning_rate': 0.00017553581007019755, 'epoch': 0.37}
{'loss': 0.0915, 'grad_norm': 0.8069997429847717, 'learning_rate': 0.00017530259567620515, 'epoch': 0.37}
{'loss': 0.1068, 'grad_norm': 0.6808227896690369, 'learning_rate': 0.00017506938128221275, 'epoch': 0.37}
{'loss': 0.0921, 'grad_norm': 0.511070966720581, 'learning_rate': 0.00017483616688822036, 'epoch': 0.38}
{'loss': 0.0988, 'grad_norm': 0.6498386263847351, 'learning_rate': 0.00017460295249422796, 'epoch': 0.38}
{'loss': 0.0963, 'grad_norm': 0.7856364250183105, 'learning_rate': 0.00017436973810023556, 'epoch': 0.38}
{'loss': 0.0969, 'grad_norm': 0.6922202110290527, 'learning_rate': 0.00017413652370624317, 'epoch': 0.39}
{'loss': 0.0959, 'grad_norm': 0.6359003782272339, 'learning_rate': 0.00017390330931225077, 'epoch': 0.39}
{'loss': 0.098, 'grad_norm': 0.5463600158691406, 'learning_rate': 0.00017367009491825838, 'epoch': 0.4}
{'loss': 0.1004, 'grad_norm': 1.3340797424316406, 'learning_rate': 0.00017343688052426598, 'epoch': 0.4}
{'loss': 0.0892, 'grad_norm': 1.1688765287399292, 'learning_rate': 0.00017320366613027356, 'epoch': 0.4}
{'loss': 0.0901, 'grad_norm': 0.5681541562080383, 'learning_rate': 0.00017297045173628116, 'epoch': 0.41}
{'loss': 0.0908, 'grad_norm': 0.5880097150802612, 'learning_rate': 0.00017273723734228876, 'epoch': 0.41}
{'loss': 0.0978, 'grad_norm': 0.5605854988098145, 'learning_rate': 0.00017250402294829637, 'epoch': 0.41}
{'loss': 0.0897, 'grad_norm': 1.5231318473815918, 'learning_rate': 0.00017227080855430397, 'epoch': 0.42}
{'loss': 0.0943, 'grad_norm': 0.9040853977203369, 'learning_rate': 0.00017203759416031157, 'epoch': 0.42}
{'loss': 0.0907, 'grad_norm': 0.5716332197189331, 'learning_rate': 0.00017180437976631918, 'epoch': 0.42}
{'loss': 0.0896, 'grad_norm': 0.808083713054657, 'learning_rate': 0.00017157116537232678, 'epoch': 0.43}
{'loss': 0.0972, 'grad_norm': 0.8213512301445007, 'learning_rate': 0.00017133795097833439, 'epoch': 0.43}
{'loss': 0.0929, 'grad_norm': 0.6813393235206604, 'learning_rate': 0.000171104736584342, 'epoch': 0.43}
{'loss': 0.0851, 'grad_norm': 0.5833900570869446, 'learning_rate': 0.0001708715221903496, 'epoch': 0.44}
{'loss': 0.0924, 'grad_norm': 0.9942030310630798, 'learning_rate': 0.0001706383077963572, 'epoch': 0.44}
{'loss': 0.0908, 'grad_norm': 0.7653527855873108, 'learning_rate': 0.0001704050934023648, 'epoch': 0.44}
{'loss': 0.102, 'grad_norm': 0.7408717274665833, 'learning_rate': 0.0001701718790083724, 'epoch': 0.45}
{'loss': 0.0916, 'grad_norm': 0.4656705856323242, 'learning_rate': 0.00016993866461438, 'epoch': 0.45}
{'loss': 0.0892, 'grad_norm': 0.5631143450737, 'learning_rate': 0.0001697054502203876, 'epoch': 0.45}
{'loss': 0.0975, 'grad_norm': 0.5813605189323425, 'learning_rate': 0.00016947223582639522, 'epoch': 0.46}
{'loss': 0.0913, 'grad_norm': 0.7440927028656006, 'learning_rate': 0.00016923902143240282, 'epoch': 0.46}
{'loss': 0.0915, 'grad_norm': 0.9057533740997314, 'learning_rate': 0.00016900580703841042, 'epoch': 0.47}
{'loss': 0.0975, 'grad_norm': 0.592535138130188, 'learning_rate': 0.00016877259264441803, 'epoch': 0.47}
{'loss': 0.0963, 'grad_norm': 0.8793931007385254, 'learning_rate': 0.00016853937825042563, 'epoch': 0.47}
{'loss': 0.0918, 'grad_norm': 0.9448693990707397, 'learning_rate': 0.00016830616385643323, 'epoch': 0.48}
{'loss': 0.0898, 'grad_norm': 0.6152546405792236, 'learning_rate': 0.00016807294946244084, 'epoch': 0.48}
{'loss': 0.0933, 'grad_norm': 0.6844961643218994, 'learning_rate': 0.00016783973506844844, 'epoch': 0.48}
{'loss': 0.0922, 'grad_norm': 0.8130415081977844, 'learning_rate': 0.00016760652067445605, 'epoch': 0.49}
{'loss': 0.092, 'grad_norm': 0.7126420736312866, 'learning_rate': 0.00016737330628046365, 'epoch': 0.49}
{'loss': 0.0907, 'grad_norm': 0.7670408487319946, 'learning_rate': 0.00016714009188647123, 'epoch': 0.49}
{'loss': 0.0879, 'grad_norm': 0.407990962266922, 'learning_rate': 0.00016690687749247883, 'epoch': 0.5}
{'loss': 0.0921, 'grad_norm': 0.7726436853408813, 'learning_rate': 0.00016667366309848643, 'epoch': 0.5}
{'loss': 0.0916, 'grad_norm': 0.5334466099739075, 'learning_rate': 0.00016644044870449404, 'epoch': 0.5}
{'loss': 0.0869, 'grad_norm': 0.453569620847702, 'learning_rate': 0.00016620723431050164, 'epoch': 0.51}
{'loss': 0.0934, 'grad_norm': 0.70513516664505, 'learning_rate': 0.00016597401991650924, 'epoch': 0.51}
{'loss': 0.0974, 'grad_norm': 0.5700309872627258, 'learning_rate': 0.00016574080552251685, 'epoch': 0.51}
{'loss': 0.0899, 'grad_norm': 0.6299761533737183, 'learning_rate': 0.00016550759112852445, 'epoch': 0.52}
{'loss': 0.0887, 'grad_norm': 0.7585194110870361, 'learning_rate': 0.00016527437673453206, 'epoch': 0.52}
{'loss': 0.0933, 'grad_norm': 0.930152177810669, 'learning_rate': 0.00016504116234053966, 'epoch': 0.52}
{'loss': 0.0814, 'grad_norm': 1.3792784214019775, 'learning_rate': 0.00016480794794654726, 'epoch': 0.53}
{'loss': 0.0821, 'grad_norm': 0.7005134224891663, 'learning_rate': 0.00016457473355255487, 'epoch': 0.53}
{'loss': 0.0982, 'grad_norm': 0.8911052942276001, 'learning_rate': 0.0001643415191585625, 'epoch': 0.54}
{'loss': 0.0852, 'grad_norm': 0.6765617728233337, 'learning_rate': 0.00016410830476457007, 'epoch': 0.54}
{'loss': 0.088, 'grad_norm': 0.4664929509162903, 'learning_rate': 0.00016387509037057768, 'epoch': 0.54}
{'loss': 0.0894, 'grad_norm': 0.635762631893158, 'learning_rate': 0.00016364187597658528, 'epoch': 0.55}
{'loss': 0.0958, 'grad_norm': 0.3026718497276306, 'learning_rate': 0.00016340866158259289, 'epoch': 0.55}
{'loss': 0.0962, 'grad_norm': 0.8753425478935242, 'learning_rate': 0.0001631754471886005, 'epoch': 0.55}
{'loss': 0.0888, 'grad_norm': 0.960191547870636, 'learning_rate': 0.0001629422327946081, 'epoch': 0.56}
{'loss': 0.093, 'grad_norm': 0.6414307355880737, 'learning_rate': 0.0001627090184006157, 'epoch': 0.56}
{'loss': 0.087, 'grad_norm': 1.0325194597244263, 'learning_rate': 0.0001624758040066233, 'epoch': 0.56}
{'loss': 0.0819, 'grad_norm': 0.5770044326782227, 'learning_rate': 0.0001622425896126309, 'epoch': 0.57}
{'loss': 0.0884, 'grad_norm': 0.5876498222351074, 'learning_rate': 0.0001620093752186385, 'epoch': 0.57}
{'loss': 0.0906, 'grad_norm': 0.8905732035636902, 'learning_rate': 0.0001617761608246461, 'epoch': 0.57}
{'loss': 0.0886, 'grad_norm': 0.6462447643280029, 'learning_rate': 0.00016154294643065372, 'epoch': 0.58}
{'loss': 0.0936, 'grad_norm': 0.6697046160697937, 'learning_rate': 0.00016130973203666132, 'epoch': 0.58}
{'loss': 0.0846, 'grad_norm': 0.4950012266635895, 'learning_rate': 0.00016107651764266892, 'epoch': 0.58}
{'loss': 0.0867, 'grad_norm': 0.6889895796775818, 'learning_rate': 0.0001608433032486765, 'epoch': 0.59}
{'loss': 0.0933, 'grad_norm': 0.7240939736366272, 'learning_rate': 0.0001606100888546841, 'epoch': 0.59}
{'loss': 0.0883, 'grad_norm': 0.7873829007148743, 'learning_rate': 0.0001603768744606917, 'epoch': 0.59}
{'loss': 0.0925, 'grad_norm': 0.7100598216056824, 'learning_rate': 0.0001601436600666993, 'epoch': 0.6}
{'loss': 0.0932, 'grad_norm': 0.6770469546318054, 'learning_rate': 0.00015991044567270692, 'epoch': 0.6}
{'loss': 0.0923, 'grad_norm': 0.41639211773872375, 'learning_rate': 0.00015967723127871452, 'epoch': 0.61}
{'loss': 0.0848, 'grad_norm': 0.5260144472122192, 'learning_rate': 0.00015944401688472212, 'epoch': 0.61}
{'loss': 0.0851, 'grad_norm': 0.7303974032402039, 'learning_rate': 0.00015921080249072973, 'epoch': 0.61}
{'loss': 0.0882, 'grad_norm': 0.7348964810371399, 'learning_rate': 0.00015897758809673733, 'epoch': 0.62}
{'loss': 0.084, 'grad_norm': 0.7501729726791382, 'learning_rate': 0.00015874437370274493, 'epoch': 0.62}
{'loss': 0.0875, 'grad_norm': 0.582502543926239, 'learning_rate': 0.00015851115930875256, 'epoch': 0.62}
{'loss': 0.0815, 'grad_norm': 0.5633106827735901, 'learning_rate': 0.00015827794491476017, 'epoch': 0.63}
{'loss': 0.0868, 'grad_norm': 0.8235344886779785, 'learning_rate': 0.00015804473052076775, 'epoch': 0.63}
{'loss': 0.0911, 'grad_norm': 0.5277935266494751, 'learning_rate': 0.00015781151612677535, 'epoch': 0.63}
{'loss': 0.0939, 'grad_norm': 0.5948538780212402, 'learning_rate': 0.00015757830173278295, 'epoch': 0.64}
{'loss': 0.0842, 'grad_norm': 0.7174760699272156, 'learning_rate': 0.00015734508733879056, 'epoch': 0.64}
{'loss': 0.0803, 'grad_norm': 0.9180493950843811, 'learning_rate': 0.00015711187294479816, 'epoch': 0.64}
{'loss': 0.085, 'grad_norm': 0.5683919787406921, 'learning_rate': 0.00015687865855080576, 'epoch': 0.65}
{'loss': 0.0808, 'grad_norm': 0.7756803035736084, 'learning_rate': 0.00015664544415681337, 'epoch': 0.65}
{'loss': 0.0858, 'grad_norm': 0.5026398301124573, 'learning_rate': 0.00015641222976282097, 'epoch': 0.65}
{'loss': 0.088, 'grad_norm': 0.7182387113571167, 'learning_rate': 0.00015617901536882858, 'epoch': 0.66}
{'loss': 0.0843, 'grad_norm': 0.5578389763832092, 'learning_rate': 0.00015594580097483618, 'epoch': 0.66}
{'loss': 0.0817, 'grad_norm': 0.5496231317520142, 'learning_rate': 0.00015571258658084378, 'epoch': 0.66}
{'loss': 0.0848, 'grad_norm': 0.5852949619293213, 'learning_rate': 0.00015547937218685139, 'epoch': 0.67}
{'loss': 0.0844, 'grad_norm': 0.5726515650749207, 'learning_rate': 0.000155246157792859, 'epoch': 0.67}
{'loss': 0.092, 'grad_norm': 0.604887843132019, 'learning_rate': 0.0001550129433988666, 'epoch': 0.68}
{'loss': 0.0861, 'grad_norm': 0.5395854115486145, 'learning_rate': 0.0001547797290048742, 'epoch': 0.68}
{'loss': 0.0857, 'grad_norm': 0.5848497152328491, 'learning_rate': 0.00015454651461088177, 'epoch': 0.68}
{'loss': 0.0849, 'grad_norm': 0.8652408719062805, 'learning_rate': 0.00015431330021688938, 'epoch': 0.69}
{'loss': 0.0805, 'grad_norm': 0.7570611238479614, 'learning_rate': 0.00015408008582289698, 'epoch': 0.69}
{'loss': 0.0834, 'grad_norm': 0.5904905200004578, 'learning_rate': 0.00015384687142890459, 'epoch': 0.69}
{'loss': 0.0837, 'grad_norm': 0.6207702159881592, 'learning_rate': 0.0001536136570349122, 'epoch': 0.7}
{'loss': 0.0815, 'grad_norm': 0.47947582602500916, 'learning_rate': 0.0001533804426409198, 'epoch': 0.7}
{'loss': 0.0836, 'grad_norm': 0.7643787860870361, 'learning_rate': 0.0001531472282469274, 'epoch': 0.7}
{'loss': 0.089, 'grad_norm': 0.6745128035545349, 'learning_rate': 0.000152914013852935, 'epoch': 0.71}
{'loss': 0.0812, 'grad_norm': 0.6047505736351013, 'learning_rate': 0.0001526807994589426, 'epoch': 0.71}
{'loss': 0.0855, 'grad_norm': 0.9193786382675171, 'learning_rate': 0.00015244758506495024, 'epoch': 0.71}
{'loss': 0.0869, 'grad_norm': 0.651146411895752, 'learning_rate': 0.00015221437067095784, 'epoch': 0.72}
{'loss': 0.0858, 'grad_norm': 0.6520446538925171, 'learning_rate': 0.00015198115627696544, 'epoch': 0.72}
{'loss': 0.0853, 'grad_norm': 0.6647992730140686, 'learning_rate': 0.00015174794188297302, 'epoch': 0.72}
{'loss': 0.0876, 'grad_norm': 0.730284571647644, 'learning_rate': 0.00015151472748898062, 'epoch': 0.73}
{'loss': 0.0826, 'grad_norm': 0.8703080415725708, 'learning_rate': 0.00015128151309498823, 'epoch': 0.73}
{'loss': 0.092, 'grad_norm': 0.6053822636604309, 'learning_rate': 0.00015104829870099583, 'epoch': 0.73}
{'loss': 0.0857, 'grad_norm': 0.4844949543476105, 'learning_rate': 0.00015081508430700343, 'epoch': 0.74}
{'loss': 0.0812, 'grad_norm': 0.7518355846405029, 'learning_rate': 0.00015058186991301104, 'epoch': 0.74}
{'loss': 0.0769, 'grad_norm': 0.6061144471168518, 'learning_rate': 0.00015034865551901864, 'epoch': 0.75}
{'loss': 0.0788, 'grad_norm': 0.43476951122283936, 'learning_rate': 0.00015011544112502625, 'epoch': 0.75}
{'loss': 0.0834, 'grad_norm': 0.6533893346786499, 'learning_rate': 0.00014988222673103385, 'epoch': 0.75}
{'loss': 0.0787, 'grad_norm': 0.8962550759315491, 'learning_rate': 0.00014964901233704145, 'epoch': 0.76}
{'loss': 0.082, 'grad_norm': 0.31551042199134827, 'learning_rate': 0.00014941579794304906, 'epoch': 0.76}
{'loss': 0.0878, 'grad_norm': 0.3341005742549896, 'learning_rate': 0.00014918258354905666, 'epoch': 0.76}
{'loss': 0.0906, 'grad_norm': 0.49461284279823303, 'learning_rate': 0.00014894936915506426, 'epoch': 0.77}
{'loss': 0.0847, 'grad_norm': 0.4823353588581085, 'learning_rate': 0.00014871615476107187, 'epoch': 0.77}
{'loss': 0.0771, 'grad_norm': 0.6426768898963928, 'learning_rate': 0.00014848294036707947, 'epoch': 0.77}
{'loss': 0.0826, 'grad_norm': 0.7890056371688843, 'learning_rate': 0.00014824972597308705, 'epoch': 0.78}
{'loss': 0.0774, 'grad_norm': 0.4762353003025055, 'learning_rate': 0.00014801651157909465, 'epoch': 0.78}
{'loss': 0.0834, 'grad_norm': 0.4362678825855255, 'learning_rate': 0.00014778329718510226, 'epoch': 0.78}
{'loss': 0.084, 'grad_norm': 1.7297861576080322, 'learning_rate': 0.00014755008279110986, 'epoch': 0.79}
{'loss': 0.0851, 'grad_norm': 0.32145926356315613, 'learning_rate': 0.00014731686839711746, 'epoch': 0.79}
{'loss': 0.0796, 'grad_norm': 0.5115833282470703, 'learning_rate': 0.00014708365400312507, 'epoch': 0.79}
{'loss': 0.0856, 'grad_norm': 0.5758424997329712, 'learning_rate': 0.00014685043960913267, 'epoch': 0.8}
{'loss': 0.08, 'grad_norm': 0.7154496908187866, 'learning_rate': 0.00014661722521514027, 'epoch': 0.8}
{'loss': 0.0866, 'grad_norm': 1.1252943277359009, 'learning_rate': 0.0001463840108211479, 'epoch': 0.8}
